"Date","Adjusted","Opening","High","Low","Close","Volume"
2021-08-30,298.187805175781,301.119995117188,304.220001220703,301.059997558594,303.589996337891,16348100
2021-08-31,296.508209228516,304.420013427734,304.5,301.5,301.880004882812,26285300
2021-09-01,296.459136962891,302.869995117188,305.190002441406,301.489990234375,301.829986572266,18983800
2021-09-02,295.791229248047,302.200012207031,303.359985351562,300.179992675781,301.149993896484,16285600
2021-09-03,295.781372070312,300.989990234375,302.600006103516,300.260009765625,301.140014648438,14747900
2021-09-07,294.838500976562,301.010009765625,301.089996337891,298.200012207031,300.179992675781,17180400
2021-09-08,294.867919921875,299.779998779297,300.609985351562,297.470001220703,300.209991455078,15046800
2021-09-09,291.960632324219,300.820007324219,302.140014648438,297,297.25,19927000
2021-09-10,290.448059082031,298.420013427734,299.920013427734,295.380004882812,295.709991455078,19633400
2021-09-13,291.705230712891,297.549987792969,298.540008544922,294.079986572266,296.989990234375,23652900
2021-09-14,294.455383300781,299.559997558594,301.390014648438,298.100006103516,299.790008544922,21853400
2021-09-15,299.395874023438,303.260009765625,305.320007324219,301.820007324219,304.820007324219,28356300
2021-09-16,299.788848876953,303.760009765625,305.309997558594,300.760009765625,305.220001220703,19550800
2021-09-17,294.534027099609,304.170013427734,304.5,299.529998779297,299.869995117188,41372500
2021-09-20,289.063110351562,296.329986572266,298.720001220703,289.519989013672,294.299987792969,38278700
2021-09-21,289.554229736328,295.690002441406,297.540008544922,294.070007324219,294.799987792969,22364100
2021-09-22,293.266906738281,296.730010986328,300.220001220703,294.510009765625,298.579986572266,26626300
2021-09-23,294.229522705078,298.850006103516,300.899993896484,297.529998779297,299.559997558594,18604600
2021-09-24,294.023254394531,298.230010986328,299.799987792969,296.929992675781,299.350006103516,14999000
2021-09-27,288.935394287109,296.140014648438,296.470001220703,292.940002441406,294.170013427734,23571700
2021-09-28,278.474945068359,289.799987792969,290.779998779297,282.75,283.519989013672,43186200
2021-09-29,278.946411132812,285.100006103516,286.769989013672,283.010009765625,284,26353700
2021-09-30,276.903411865234,285.709991455078,287.829986572266,281.619995117188,281.920013427734,32343600
2021-10-01,283.955688476562,282.119995117188,289.980010986328,281.290008544922,289.100006103516,30086300
2021-10-04,278.072204589844,287.399993896484,287.75,280.25,283.109985351562,31350700
2021-10-05,283.621704101562,284.049987792969,290.399993896484,284.049987792969,288.760009765625,24993000
2021-10-06,287.894317626953,285.779998779297,293.630004882812,285.510009765625,293.109985351562,28002600
2021-10-07,289.603332519531,295.179992675781,296.640014648438,293.920013427734,294.850006103516,20430500
2021-10-08,289.603332519531,296.220001220703,296.640014648438,293.760009765625,294.850006103516,17685700
2021-10-11,288.994384765625,292.920013427734,297.970001220703,292.75,294.230010986328,19298600
2021-10-12,287.668426513672,295.339996337891,295.440002441406,292.350006103516,292.880004882812,17974100
2021-10-13,291.037322998047,294.910003662109,297.279998779297,293.489990234375,296.309997558594,23416300
2021-10-14,297.362762451172,299.209991455078,303.269989013672,297.829986572266,302.75,27262900
2021-10-15,298.796752929688,302.339996337891,304.450012207031,300.519989013672,304.209991455078,25384800
2021-10-18,301.821960449219,303.570007324219,308.209991455078,302.690002441406,307.290008544922,22729300
2021-10-19,302.745269775391,308.350006103516,309.299987792969,307.220001220703,308.230010986328,17682100
2021-10-20,301.939788818359,309.209991455078,309.700012207031,306.109985351562,307.410003662109,16537100
2021-10-21,305.230194091797,307.170013427734,311.019989013672,306.359985351562,310.760009765625,16918100
2021-10-22,303.658721923828,310.399993896484,311.089996337891,307.799987792969,309.160003662109,17449300
2021-10-25,302.647064208984,309.359985351562,309.399993896484,306.459991455078,308.130004882812,17554500
2021-10-26,304.591735839844,311,312.399993896484,308.600006103516,310.109985351562,28107300
2021-10-27,317.419403076172,316,326.100006103516,316,323.170013427734,52588700
2021-10-28,318.578430175781,324.329986572266,324.869995117188,321.359985351562,324.350006103516,26297900
2021-10-29,325.719055175781,324.130004882812,332,323.899993896484,331.619995117188,34766000
2021-11-01,323.509063720703,331.359985351562,331.489990234375,326.369995117188,329.369995117188,27073200
2021-11-02,327.2021484375,330.309997558594,333.450012207031,330,333.130004882812,26487100
2021-11-03,328.056671142578,333.899993896484,334.899993896484,330.649993896484,334,21500100
2021-11-04,330.453247070312,332.890014648438,336.540008544922,329.510009765625,336.440002441406,23992200
2021-11-05,330.080047607422,338.510009765625,338.790008544922,334.420013427734,336.059997558594,22570100
2021-11-08,330.993469238281,337.299987792969,337.649993896484,334.440002441406,336.989990234375,20897000
2021-11-09,329.972015380859,337.109985351562,338.720001220703,334.529998779297,335.950012207031,21307400
2021-11-10,324.913604736328,334.570007324219,334.630004882812,329.920013427734,330.799987792969,25500900
2021-11-11,326.514587402344,331.25,333.769989013672,330.510009765625,332.429992675781,16849800
2021-11-12,330.728271484375,333.920013427734,337.230010986328,333.790008544922,336.720001220703,23831000
2021-11-15,330.089874267578,337.540008544922,337.880004882812,334.029998779297,336.070007324219,16723000
2021-11-16,333.468658447266,335.679992675781,340.670013427734,335.510009765625,339.510009765625,20886800
2021-11-17,333.694976806641,338.940002441406,342.190002441406,338,339.119995117188,19053400
2021-11-18,335.810516357422,338.179992675781,342.450012207031,337.119995117188,341.269989013672,22463500
2021-11-19,337.621124267578,342.640014648438,345.100006103516,342.200012207031,343.109985351562,21963400
2021-11-22,334.393524169922,344.619995117188,349.670013427734,339.549987792969,339.829986572266,31031100
2021-11-23,332.277954101562,337.049987792969,339.450012207031,333.559997558594,337.679992675781,30427600
2021-11-24,332.504272460938,336.279998779297,338.160003662109,333.910003662109,337.910003662109,21661300
2021-11-26,324.405944824219,334.350006103516,337.929992675781,328.119995117188,329.679992675781,24217200
2021-11-29,331.244781494141,334.940002441406,339.029998779297,334.739990234375,336.630004882812,28563500
2021-11-30,325.301422119141,335.320007324219,337.779998779297,328.989990234375,330.589996337891,42885600
2021-12-01,324.799591064453,335.130004882812,339.279998779297,329.390014648438,330.079986572266,33337600
2021-12-02,324.219024658203,330.299987792969,333.489990234375,327.799987792969,329.489990234375,30766000
2021-12-03,317.842712402344,331.989990234375,332.700012207031,318.029998779297,323.010009765625,41779300
2021-12-06,320.971801757812,323.950012207031,327.450012207031,319.230010986328,326.190002441406,30032600
2021-12-07,329.562164306641,331.640014648438,335.799987792969,330.100006103516,334.920013427734,31021900
2021-12-08,329.611358642578,335.309997558594,335.5,330.799987792969,334.970001220703,24761000
2021-12-09,327.771240234375,334.410003662109,336.489990234375,332.119995117188,333.100006103516,22214200
2021-12-10,337.060241699219,334.980010986328,343,334.790008544922,342.540008544922,38095700
2021-12-13,333.970489501953,340.679992675781,343.790008544922,339.079986572266,339.399993896484,28899400
2021-12-14,323.087371826172,333.220001220703,334.640014648438,324.109985351562,328.339996337891,44438700
2021-12-15,329.296447753906,328.609985351562,335.190002441406,324.5,334.649993896484,35381100
2021-12-16,319.702453613281,335.709991455078,336.760009765625,323.019989013672,324.899993896484,35034800
2021-12-17,318.619995117188,320.880004882812,324.920013427734,317.25,323.799987792969,47750300
