"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915C00110000","REGULAR","USD",2023-09-15,110,219.17,0,0,222.25,225.75,1,4,2023-08-23 13:43:20,4.09863768920898,TRUE
"MSFT230915C00115000","REGULAR","USD",2023-09-15,115,218.5,10.050003,4.8213015,217.25,220.8,1,2,2023-08-10 15:08:16,3.96972663818359,TRUE
"MSFT230915C00120000","REGULAR","USD",2023-09-15,120,210.1,0,0,212.15,215.8,8,54,2023-09-07 15:13:24,3.82324262939453,TRUE
"MSFT230915C00125000","REGULAR","USD",2023-09-15,125,197.25,0,0,207.45,210.8,20,265,2023-08-24 15:29:04,3.68261798095703,TRUE
"MSFT230915C00130000","REGULAR","USD",2023-09-15,130,204.5,4.350006,2.1733732,202.5,205.9,54,280,2023-09-08 15:18:47,3.58935649536133,TRUE
"MSFT230915C00135000","REGULAR","USD",2023-09-15,135,199.49,1.9900055,1.0075977,197.2,200.9,98,294,2023-09-08 14:42:29,3.45849744750977,TRUE
"MSFT230915C00140000","REGULAR","USD",2023-09-15,140,121.31,0,0,101.25,105,4,315,2022-12-14 14:46:44,1e-05,TRUE
"MSFT230915C00145000","REGULAR","USD",2023-09-15,145,178.22,0,0,187.2,190.85,1,77,2023-08-22 13:20:10,3.19238483154297,TRUE
"MSFT230915C00150000","REGULAR","USD",2023-09-15,150,176.35,0,0,182.65,185.9,1,43,2023-08-29 10:17:10,1.59375203125,TRUE
"MSFT230915C00155000","REGULAR","USD",2023-09-15,155,159.36,0,0,0,0,8,265,2023-05-16 14:39:54,1e-05,TRUE
"MSFT230915C00160000","REGULAR","USD",2023-09-15,160,206.45,0,0,156.6,158.9,11,125,2023-07-18 12:34:47,1e-05,TRUE
"MSFT230915C00165000","REGULAR","USD",2023-09-15,165,98.57,0,0,78.85,82.25,19,279,2022-12-14 14:47:16,1e-05,TRUE
"MSFT230915C00170000","REGULAR","USD",2023-09-15,170,176.95,0,0,157.5,159.5,1,183,2023-07-24 10:31:57,1e-05,TRUE
"MSFT230915C00175000","REGULAR","USD",2023-09-15,175,162.39,0,0,167.6,171.35,6,152,2023-06-23 11:20:02,4.06812014923096,TRUE
"MSFT230915C00180000","REGULAR","USD",2023-09-15,180,179.2,0,0,135,139,2,451,2023-07-19 10:33:15,1e-05,TRUE
"MSFT230915C00185000","REGULAR","USD",2023-09-15,185,137.85,0,0,147.55,150.95,1,266,2023-08-28 10:53:44,2.38379310302734,TRUE
"MSFT230915C00190000","REGULAR","USD",2023-09-15,190,141.55,0,0,142.3,145.95,2,213,2023-09-06 13:47:09,2.29053161743164,TRUE
"MSFT230915C00195000","REGULAR","USD",2023-09-15,195,134.35,0,0,137.35,140.9,3,42,2023-08-31 10:44:58,2.18652797119141,TRUE
"MSFT230915C00200000","REGULAR","USD",2023-09-15,200,131.5,0,0,132.6,135.9,10,4169,2023-09-07 09:30:33,2.09814928588867,TRUE
"MSFT230915C00205000","REGULAR","USD",2023-09-15,205,112,0,0,127,130.9,3,128,2023-08-18 15:24:57,2.01221200073242,TRUE
"MSFT230915C00210000","REGULAR","USD",2023-09-15,210,119.85,0,0,122.55,125.85,10,471,2023-08-23 13:58:35,1.91552776611328,TRUE
"MSFT230915C00215000","REGULAR","USD",2023-09-15,215,113.05,0,0,117.55,121,4,2646,2023-08-29 14:24:22,0.9062509375,TRUE
"MSFT230915C00220000","REGULAR","USD",2023-09-15,220,110.03,6.3399963,6.1143756,112.55,115.95,5,208,2023-09-08 09:30:02,1.77539174804687,TRUE
"MSFT230915C00225000","REGULAR","USD",2023-09-15,225,105.69,0,0,107.4,111,1,5845,2023-09-07 15:25:29,1.70630029663086,TRUE
"MSFT230915C00230000","REGULAR","USD",2023-09-15,230,105.98,5.590004,5.5682874,102.4,105.95,1,1082,2023-09-08 11:54:20,1.6171894140625,TRUE
"MSFT230915C00235000","REGULAR","USD",2023-09-15,235,95.62,0,0,97.7,100.95,1,4118,2023-09-07 10:26:04,0.914063359375,TRUE
"MSFT230915C00240000","REGULAR","USD",2023-09-15,240,95.41,1.6900024,1.8032464,92.65,96,1,1463,2023-09-08 13:58:21,0.8632826171875,TRUE
"MSFT230915C00245000","REGULAR","USD",2023-09-15,245,89.31,0,0,87.7,90.95,11,1483,2023-09-05 15:58:36,0.81445498046875,TRUE
"MSFT230915C00250000","REGULAR","USD",2023-09-15,250,82.1,0,0,83.2,86.05,1,3518,2023-09-06 12:09:44,0.9804689453125,TRUE
"MSFT230915C00255000","REGULAR","USD",2023-09-15,255,77,0,0,77.6,81.05,1,1532,2023-09-06 10:13:23,0.7187528125,TRUE
"MSFT230915C00260000","REGULAR","USD",2023-09-15,260,75.07,3.9199982,5.5094843,73.15,75.5,2,3040,2023-09-08 13:02:24,0.67187828125,TRUE
"MSFT230915C00265000","REGULAR","USD",2023-09-15,265,67.23,0,0,67.7,71.05,3,1542,2023-09-06 11:19:47,0.67773759765625,TRUE
"MSFT230915C00270000","REGULAR","USD",2023-09-15,270,64.39,1.8899994,3.023999,62.65,66.05,5,3759,2023-09-08 15:57:50,0.60742580078125,TRUE
"MSFT230915C00275000","REGULAR","USD",2023-09-15,275,59.34,3.9900017,7.2086754,57.6,61.05,35,2655,2023-09-08 15:24:10,0.5351608984375,TRUE
"MSFT230915C00280000","REGULAR","USD",2023-09-15,280,53,2,3.9215689,52.65,56.05,1,7572,2023-09-08 09:46:13,0.514653291015625,TRUE
"MSFT230915C00285000","REGULAR","USD",2023-09-15,285,49.55,4.329998,9.575404,47.65,51.1,4,2387,2023-09-08 14:54:42,0.842286733398438,TRUE
"MSFT230915C00287500","REGULAR","USD",2023-09-15,287.5,46.56,3.2600021,7.5288734,46.15,48.55,1,297,2023-09-08 15:48:58,0.616214775390625,TRUE
"MSFT230915C00290000","REGULAR","USD",2023-09-15,290,45.25,4.5200005,11.097472,42.95,45,102,5027,2023-09-08 15:59:48,0.616214775390625,TRUE
"MSFT230915C00292500","REGULAR","USD",2023-09-15,292.5,39.3,1.8499985,4.9399157,40.05,43.45,5,396,2023-09-08 09:32:16,0.720461779785156,TRUE
"MSFT230915C00295000","REGULAR","USD",2023-09-15,295,40.8,4.549999,12.551722,37.55,41.1,44,2138,2023-09-08 12:55:23,0.70312796875,TRUE
"MSFT230915C00297500","REGULAR","USD",2023-09-15,297.5,36.65,3.3500023,10.060067,35.9,38.6,4,240,2023-09-08 14:59:46,0.668216208496094,TRUE
"MSFT230915C00300000","REGULAR","USD",2023-09-15,300,34.46,3.1599998,10.095846,32.55,36.15,138,12533,2023-09-08 15:51:57,0.638431350097656,TRUE
"MSFT230915C00302500","REGULAR","USD",2023-09-15,302.5,33.46,4.7599983,16.58536,30.45,33.65,5,206,2023-09-08 10:22:29,0.603275451660156,TRUE
"MSFT230915C00305000","REGULAR","USD",2023-09-15,305,28.63,2.6299992,10.115381,27.5,31.15,26,3007,2023-09-08 15:38:12,0.568119553222656,TRUE
"MSFT230915C00307500","REGULAR","USD",2023-09-15,307.5,28.4,5,21.367521,25.1,28.7,8,237,2023-09-08 10:22:57,0.53711400390625,TRUE
"MSFT230915C00310000","REGULAR","USD",2023-09-15,310,24.35,3.290001,15.622038,23,26.2,54,6706,2023-09-08 15:09:11,0.501225690917969,TRUE
"MSFT230915C00312500","REGULAR","USD",2023-09-15,312.5,21.6,3.3500004,18.356167,20.55,23.75,5,253,2023-09-08 15:29:43,0.468999450683594,TRUE
"MSFT230915C00315000","REGULAR","USD",2023-09-15,315,19.49,3.1900005,19.570557,18.5,21.3,115,3347,2023-09-08 15:38:12,0.436162864990234,TRUE
"MSFT230915C00317500","REGULAR","USD",2023-09-15,317.5,16.85,2.8500004,20.357145,16.4,18.9,28,546,2023-09-08 15:27:39,0.406011799316406,TRUE
"MSFT230915C00320000","REGULAR","USD",2023-09-15,320,14.75,2.8000002,23.430964,13.5,16.5,1594,17227,2023-09-08 15:55:46,0.374517973632812,TRUE
"MSFT230915C00322500","REGULAR","USD",2023-09-15,322.5,12.39,2.2000008,21.589802,11.2,14.2,298,1029,2023-09-08 15:27:19,0.3476627734375,TRUE
"MSFT230915C00325000","REGULAR","USD",2023-09-15,325,10.37,2.67,34.675327,9.05,11.95,727,5675,2023-09-08 15:58:58,0.321173780517578,TRUE
"MSFT230915C00327500","REGULAR","USD",2023-09-15,327.5,8.44,2.5899997,44.2735,6.95,8.65,926,2739,2023-09-08 15:59:38,0.228889547119141,TRUE
"MSFT230915C00330000","REGULAR","USD",2023-09-15,330,6.65,2.25,51.136364,6.4,6.7,5409,28588,2023-09-08 15:59:48,0.215461947021484,TRUE
"MSFT230915C00332500","REGULAR","USD",2023-09-15,332.5,4.92,1.72,53.750004,4.45,5,4802,3500,2023-09-08 15:59:49,0.205818488769531,TRUE
"MSFT230915C00335000","REGULAR","USD",2023-09-15,335,3.5,1.4000001,66.66667,3.4,3.55,15802,13165,2023-09-08 15:59:55,0.197517790527344,FALSE
