"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915P00110000","REGULAR","USD",2023-09-15,110,0.01,0,0,0,0.03,1,1764,2023-08-11 14:31:24,1.921875390625,FALSE
"MSFT230915P00115000","REGULAR","USD",2023-09-15,115,0.01,0,0,0,0.06,1,1477,2023-08-16 13:13:48,1.953125234375,FALSE
"MSFT230915P00120000","REGULAR","USD",2023-09-15,120,0.01,0,0,0,0.02,1,2510,2023-07-26 13:53:51,1.71875140625,FALSE
"MSFT230915P00125000","REGULAR","USD",2023-09-15,125,0.01,0,0,0,0.03,6,1153,2023-07-20 12:22:01,1.703126484375,FALSE
"MSFT230915P00130000","REGULAR","USD",2023-09-15,130,0.02,0,0,0,0.05,3,3955,2023-07-27 14:58:26,1.7109389453125,FALSE
"MSFT230915P00135000","REGULAR","USD",2023-09-15,135,0.02,0,0,0,0.5,3,1226,2023-07-27 15:58:43,2.08984852539062,FALSE
"MSFT230915P00140000","REGULAR","USD",2023-09-15,140,0.01,0,0,0,0.03,1,754,2023-08-07 13:05:38,1.515627421875,FALSE
"MSFT230915P00145000","REGULAR","USD",2023-09-15,145,0.02,0,0,0,2.13,1,372,2023-07-21 15:52:21,2.39258214355469,FALSE
"MSFT230915P00150000","REGULAR","USD",2023-09-15,150,0.01,0,0,0,0.02,3,1201,2023-08-15 11:28:04,1.34375328125,FALSE
"MSFT230915P00155000","REGULAR","USD",2023-09-15,155,0.01,0,0,0,0.04,4,1529,2023-08-09 10:49:33,1.375003125,FALSE
"MSFT230915P00160000","REGULAR","USD",2023-09-15,160,0.01,0,0,0,0.04,3,2077,2023-08-29 13:21:05,1.3203158984375,FALSE
"MSFT230915P00165000","REGULAR","USD",2023-09-15,165,0.01,0,0,0,0.06,2,1242,2023-08-30 14:24:07,1.3125034375,FALSE
"MSFT230915P00170000","REGULAR","USD",2023-09-15,170,0.01,0,0,0,2.13,20,1712,2023-08-29 13:28:07,1.97167982910156,FALSE
"MSFT230915P00175000","REGULAR","USD",2023-09-15,175,0.01,0,0,0,2.13,5,3248,2023-08-18 15:45:34,1.89453177734375,FALSE
"MSFT230915P00180000","REGULAR","USD",2023-09-15,180,0.01,0,0,0,0.05,1,2395,2023-08-22 14:57:59,1.1328168359375,FALSE
"MSFT230915P00185000","REGULAR","USD",2023-09-15,185,0.01,0,0,0,2.13,2,1664,2023-08-15 12:34:14,1.74707157714844,FALSE
"MSFT230915P00190000","REGULAR","USD",2023-09-15,190,0.01,0,0,0,0.01,20,2733,2023-08-31 14:29:49,0.9062509375,FALSE
"MSFT230915P00195000","REGULAR","USD",2023-09-15,195,0.01,0,0,0,0.01,1,1509,2023-08-24 12:33:47,0.87500125,FALSE
"MSFT230915P00200000","REGULAR","USD",2023-09-15,200,0.01,0,0,0,0.01,17,7718,2023-09-01 10:34:04,0.82812671875,FALSE
"MSFT230915P00205000","REGULAR","USD",2023-09-15,205,0.01,0,0,0,0.01,1050,2294,2023-09-01 11:20:28,0.7812521875,FALSE
"MSFT230915P00210000","REGULAR","USD",2023-09-15,210,0.02,0.01,100,0,0.01,68,5549,2023-09-01 15:01:41,0.7500025,FALSE
"MSFT230915P00215000","REGULAR","USD",2023-09-15,215,0.02,0.01,100,0,0.01,300,2637,2023-09-01 10:32:56,0.7187528125,FALSE
"MSFT230915P00220000","REGULAR","USD",2023-09-15,220,0.02,0.01,100,0,0.02,22,4586,2023-09-01 12:48:19,0.7187528125,FALSE
"MSFT230915P00225000","REGULAR","USD",2023-09-15,225,0.02,0.01,100,0,0.03,88,7723,2023-09-01 13:43:16,0.70312796875,FALSE
"MSFT230915P00230000","REGULAR","USD",2023-09-15,230,0.02,0,0,0,0.03,102,4899,2023-09-01 14:27:13,0.664065859375,FALSE
"MSFT230915P00235000","REGULAR","USD",2023-09-15,235,0.02,0.01,100,0.01,0.05,551,7980,2023-09-01 13:48:03,0.67187828125,FALSE
"MSFT230915P00240000","REGULAR","USD",2023-09-15,240,0.03,0.01,50,0.01,0.1,201,6445,2023-09-01 14:03:39,0.67383138671875,FALSE
"MSFT230915P00245000","REGULAR","USD",2023-09-15,245,0.03,0,0,0.01,0.04,260,5264,2023-09-01 15:57:53,0.585941640625,FALSE
"MSFT230915P00250000","REGULAR","USD",2023-09-15,250,0.04,0.01,33.333336,0.02,0.2,108,11302,2023-09-01 14:42:02,0.645511357421875,FALSE
"MSFT230915P00255000","REGULAR","USD",2023-09-15,255,0.04,0.01,33.333336,0,2.16,433,8041,2023-09-01 15:26:33,0.877442631835938,FALSE
"MSFT230915P00260000","REGULAR","USD",2023-09-15,260,0.04,-0.010000002,-20.000004,0.01,0.58,494,11710,2023-09-01 15:01:40,0.647952739257812,FALSE
"MSFT230915P00265000","REGULAR","USD",2023-09-15,265,0.05,0,0,0.05,0.06,210,9755,2023-09-01 15:49:08,0.48438015625,FALSE
"MSFT230915P00270000","REGULAR","USD",2023-09-15,270,0.06,0,0,0.05,0.07,135,4815,2023-09-01 14:56:23,0.45508357421875,FALSE
"MSFT230915P00275000","REGULAR","USD",2023-09-15,275,0.06,-0.02,-25,0.06,0.08,1237,5537,2023-09-01 14:58:56,0.42383388671875,FALSE
"MSFT230915P00280000","REGULAR","USD",2023-09-15,280,0.07,-0.020000003,-22.222225,0.05,0.09,187,6001,2023-09-01 15:53:08,0.391607646484375,FALSE
"MSFT230915P00285000","REGULAR","USD",2023-09-15,285,0.1,-0.019999996,-16.666664,0.08,2.22,325,4124,2023-09-01 15:46:29,0.562504375,FALSE
"MSFT230915P00287500","REGULAR","USD",2023-09-15,287.5,0.1,-0.04,-28.571426,0.1,0.11,54,622,2023-09-01 15:59:22,0.344733115234375,FALSE
"MSFT230915P00290000","REGULAR","USD",2023-09-15,290,0.11,-0.049999997,-31.25,0.11,0.75,896,5594,2023-09-01 15:59:31,0.459478061523438,FALSE
"MSFT230915P00292500","REGULAR","USD",2023-09-15,292.5,0.13,-0.060000002,-31.578949,0,0.14,28,158,2023-09-01 15:58:11,0.316901362304687,FALSE
"MSFT230915P00295000","REGULAR","USD",2023-09-15,295,0.15,-0.08999999,-37.499996,0.08,0.16,551,5220,2023-09-01 15:55:00,0.303229624023437,FALSE
"MSFT230915P00297500","REGULAR","USD",2023-09-15,297.5,0.17,-0.11,-39.285713,0,0.18,57,607,2023-09-01 15:59:59,0.289069609375,FALSE
"MSFT230915P00300000","REGULAR","USD",2023-09-15,300,0.2,-0.13000001,-39.39394,0.19,0.21,1196,22103,2023-09-01 15:58:21,0.275886147460937,FALSE
"MSFT230915P00302500","REGULAR","USD",2023-09-15,302.5,0.26,-0.15,-36.585365,0.04,0.36,363,469,2023-09-01 15:49:39,0.282722016601562,FALSE
"MSFT230915P00305000","REGULAR","USD",2023-09-15,305,0.31,-0.20999998,-40.384613,0.25,0.32,670,7737,2023-09-01 15:59:31,0.2539137109375,FALSE
"MSFT230915P00307500","REGULAR","USD",2023-09-15,307.5,0.4,-0.23999998,-37.499996,0.3,0.83,605,1042,2023-09-01 15:57:21,0.291144783935547,FALSE
"MSFT230915P00310000","REGULAR","USD",2023-09-15,310,0.51,-0.3,-37.03704,0.5,0.54,1190,12573,2023-09-01 15:59:22,0.236091623535156,FALSE
"MSFT230915P00312500","REGULAR","USD",2023-09-15,312.5,0.73,-0.32999992,-31.132069,0.66,0.71,1028,1388,2023-09-01 15:47:43,0.227668856201172,FALSE
"MSFT230915P00315000","REGULAR","USD",2023-09-15,315,0.92,-0.45999998,-33.333332,0.9,0.95,2098,8101,2023-09-01 15:59:16,0.220466779785156,FALSE
"MSFT230915P00317500","REGULAR","USD",2023-09-15,317.5,1.25,-0.52,-29.37853,1.16,1.3,478,3203,2023-09-01 15:58:37,0.215217808837891,FALSE
"MSFT230915P00320000","REGULAR","USD",2023-09-15,320,1.7,-0.64999986,-27.659569,1.66,1.7,1158,20757,2023-09-01 15:59:51,0.206672972412109,FALSE
"MSFT230915P00322500","REGULAR","USD",2023-09-15,322.5,2.3,-0.6500001,-22.033901,2.25,2.3,637,1457,2023-09-01 15:59:48,0.202156416015625,FALSE
"MSFT230915P00325000","REGULAR","USD",2023-09-15,325,3.1,-0.7800002,-20.103096,3,3.1,2010,10200,2023-09-01 15:59:52,0.199043654174805,FALSE
"MSFT230915P00327500","REGULAR","USD",2023-09-15,327.5,4,-0.9000001,-18.367348,4,4.05,2059,1453,2023-09-01 15:59:32,0.19416089050293,FALSE
"MSFT230915P00330000","REGULAR","USD",2023-09-15,330,5.2,-0.8500004,-14.049593,5.15,5.2,1669,20890,2023-09-01 15:59:59,0.188850885009766,TRUE
"MSFT230915P00332500","REGULAR","USD",2023-09-15,332.5,6.6,-0.75,-10.204082,6.55,6.7,585,408,2023-09-01 15:59:46,0.189217092285156,TRUE
"MSFT230915P00335000","REGULAR","USD",2023-09-15,335,8.25,-0.8000002,-8.839781,8.2,8.35,659,5059,2023-09-01 15:59:32,0.186897779541016,TRUE
"MSFT230915P00337500","REGULAR","USD",2023-09-15,337.5,10.05,-0.8499994,-7.79816,9.15,10.3,127,279,2023-09-01 15:58:34,0.190437783203125,TRUE
"MSFT230915P00340000","REGULAR","USD",2023-09-15,340,12.5,-0.35000038,-2.7237384,10.6,14.25,104,8225,2023-09-01 15:54:50,0.297980653076172,TRUE
