"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915P00110000","REGULAR","USD",2023-09-15,110,0.01,0,0,0,0.03,1,1764,2023-08-11 14:31:24,1.65625171875,FALSE
"MSFT230915P00115000","REGULAR","USD",2023-09-15,115,0.01,0,0,0,0.06,1,1477,2023-08-16 13:13:48,1.6875015625,FALSE
"MSFT230915P00120000","REGULAR","USD",2023-09-15,120,0.01,0,0,0,0.02,1,2510,2023-07-26 13:53:51,1.484377578125,FALSE
"MSFT230915P00125000","REGULAR","USD",2023-09-15,125,0.01,0,0,0,0.03,6,1153,2023-07-20 12:22:01,1.46875265625,FALSE
"MSFT230915P00130000","REGULAR","USD",2023-09-15,130,0.02,0,0,0,0.05,3,3955,2023-07-27 14:58:26,1.4765651171875,FALSE
"MSFT230915P00135000","REGULAR","USD",2023-09-15,135,0.02,0,0,0,0.5,3,1226,2023-07-27 15:58:43,1.8046884765625,FALSE
"MSFT230915P00140000","REGULAR","USD",2023-09-15,140,0.01,0,0,0,0.03,1,754,2023-08-07 13:05:38,1.3125034375,FALSE
"MSFT230915P00145000","REGULAR","USD",2023-09-15,145,0.02,0,0,0,2.13,1,372,2023-07-21 15:52:21,2.06641108398437,FALSE
"MSFT230915P00150000","REGULAR","USD",2023-09-15,150,0.01,0,0,0,0.02,3,1201,2023-08-15 11:28:04,1.171879140625,FALSE
"MSFT230915P00155000","REGULAR","USD",2023-09-15,155,0.01,0,0,0,0.04,2,1529,2023-08-09 10:49:33,1.1875040625,FALSE
"MSFT230915P00160000","REGULAR","USD",2023-09-15,160,0.01,0,0,0,0.04,3,2077,2023-08-29 13:21:05,1.140629296875,FALSE
"MSFT230915P00165000","REGULAR","USD",2023-09-15,165,0.01,0,0,0,0.06,2,1242,2023-08-30 14:24:07,1.1328168359375,FALSE
"MSFT230915P00170000","REGULAR","USD",2023-09-15,170,0.01,0,0,0,0.75,20,1712,2023-08-29 13:28:07,1.44433871582031,FALSE
"MSFT230915P00175000","REGULAR","USD",2023-09-15,175,0.01,0,0,0,0.75,5,3248,2023-08-18 15:45:34,1.38672181640625,FALSE
"MSFT230915P00180000","REGULAR","USD",2023-09-15,180,0.01,0,0,0,0.05,1,2395,2023-08-22 14:57:59,0.976562734375,FALSE
"MSFT230915P00185000","REGULAR","USD",2023-09-15,185,0.01,0,0,0,0.75,2,1664,2023-08-15 12:34:14,1.27539424804687,FALSE
"MSFT230915P00190000","REGULAR","USD",2023-09-15,190,0.01,0,0,0,0.01,20,2733,2023-08-31 14:29:49,0.7812521875,FALSE
"MSFT230915P00195000","REGULAR","USD",2023-09-15,195,0.01,0,0,0,0.01,1,1509,2023-08-24 12:33:47,0.7500025,FALSE
"MSFT230915P00200000","REGULAR","USD",2023-09-15,200,0.01,0,0,0,0.04,2000,7718,2023-08-30 11:49:34,0.804689453125,FALSE
"MSFT230915P00205000","REGULAR","USD",2023-09-15,205,0.01,0,0,0,0.03,100,2294,2023-08-29 10:12:40,0.742190078125,FALSE
"MSFT230915P00210000","REGULAR","USD",2023-09-15,210,0.01,0,0,0,0.02,3,5552,2023-08-31 09:49:55,0.687503125,FALSE
"MSFT230915P00215000","REGULAR","USD",2023-09-15,215,0.01,0,0,0,0.01,200,2637,2023-08-30 14:46:41,0.62500375,FALSE
"MSFT230915P00220000","REGULAR","USD",2023-09-15,220,0.01,0,0,0,0.01,100,4586,2023-08-31 13:47:00,0.57812921875,FALSE
"MSFT230915P00225000","REGULAR","USD",2023-09-15,225,0.01,0,0,0,0.06,210,7552,2023-08-31 15:00:56,0.648441015625,FALSE
"MSFT230915P00230000","REGULAR","USD",2023-09-15,230,0.02,0.01,100,0,0.02,5,4904,2023-08-31 09:56:14,0.554691953125,FALSE
"MSFT230915P00235000","REGULAR","USD",2023-09-15,235,0.01,-0.01,-50,0.01,0.05,52,7960,2023-08-31 14:29:50,0.57812921875,FALSE
"MSFT230915P00240000","REGULAR","USD",2023-09-15,240,0.02,0,0,0.01,0.1,91,6354,2023-08-31 12:16:36,0.58008232421875,FALSE
"MSFT230915P00245000","REGULAR","USD",2023-09-15,245,0.03,0,0,0.01,0.04,85,5264,2023-08-30 15:41:34,0.500005,FALSE
"MSFT230915P00250000","REGULAR","USD",2023-09-15,250,0.03,-0.01,-25,0.02,0.04,59,11317,2023-08-31 15:23:53,0.492192578125,FALSE
"MSFT230915P00255000","REGULAR","USD",2023-09-15,255,0.03,0,0,0,0.2,82,8017,2023-08-31 15:36:15,0.5117236328125,FALSE
"MSFT230915P00260000","REGULAR","USD",2023-09-15,260,0.05,0,0,0.04,0.05,46,11697,2023-08-31 14:31:32,0.437505625,FALSE
"MSFT230915P00265000","REGULAR","USD",2023-09-15,265,0.05,-0.009999998,-16.666664,0.05,0.06,209,9554,2023-08-31 15:01:01,0.414068359375,FALSE
"MSFT230915P00270000","REGULAR","USD",2023-09-15,270,0.06,0,0,0.06,0.06,23,4817,2023-08-31 15:01:01,0.381842119140625,FALSE
"MSFT230915P00275000","REGULAR","USD",2023-09-15,275,0.08,0,0,0.07,0.09,54,5564,2023-08-31 14:30:03,0.368170380859375,FALSE
"MSFT230915P00280000","REGULAR","USD",2023-09-15,280,0.09,-0.009999998,-9.999998,0.09,0.1,298,6083,2023-08-31 15:31:29,0.338873798828125,FALSE
"MSFT230915P00285000","REGULAR","USD",2023-09-15,285,0.12,-0.009999998,-7.6923065,0.12,0.14,185,4160,2023-08-31 15:59:00,0.320807573242187,FALSE
"MSFT230915P00287500","REGULAR","USD",2023-09-15,287.5,0.14,-0.019999996,-12.499998,0.14,0.15,5,621,2023-08-31 15:54:10,0.30664755859375,FALSE
"MSFT230915P00290000","REGULAR","USD",2023-09-15,290,0.16,-0.02000001,-11.111116,0.16,0.18,269,5718,2023-08-31 15:46:05,0.297858583984375,FALSE
"MSFT230915P00292500","REGULAR","USD",2023-09-15,292.5,0.19,-0.030000001,-13.636364,0.19,0.35,8,155,2023-08-31 15:43:46,0.314948256835937,FALSE
"MSFT230915P00295000","REGULAR","USD",2023-09-15,295,0.24,0,0,0.22,0.24,400,5400,2023-08-31 15:50:21,0.27539787109375,FALSE
"MSFT230915P00297500","REGULAR","USD",2023-09-15,297.5,0.28,0,0,0.27,0.43,13,603,2023-08-31 15:50:53,0.287848918457031,FALSE
"MSFT230915P00300000","REGULAR","USD",2023-09-15,300,0.33,-0.01999998,-5.7142806,0.33,0.35,1092,22602,2023-08-31 15:58:43,0.256599230957031,FALSE
"MSFT230915P00302500","REGULAR","USD",2023-09-15,302.5,0.41,-0.030000001,-6.818182,0.4,0.44,32,460,2023-08-31 15:32:29,0.249030947265625,FALSE
"MSFT230915P00305000","REGULAR","USD",2023-09-15,305,0.52,-0.02000004,-3.7037113,0.5,0.54,361,7778,2023-08-31 15:58:29,0.239753696289062,FALSE
"MSFT230915P00307500","REGULAR","USD",2023-09-15,307.5,0.64,-0.06999999,-9.859155,0.63,0.82,95,1060,2023-08-31 15:58:29,0.243904045410156,FALSE
"MSFT230915P00310000","REGULAR","USD",2023-09-15,310,0.81,-0.050000012,-5.813955,0.81,1,697,12524,2023-08-31 15:59:29,0.23438265625,FALSE
"MSFT230915P00312500","REGULAR","USD",2023-09-15,312.5,1.06,-0.03000009,-2.752302,1.05,1.15,108,1356,2023-08-31 15:59:11,0.220100572509766,FALSE
"MSFT230915P00315000","REGULAR","USD",2023-09-15,315,1.38,-0.08000004,-5.479455,1.36,1.58,1185,7870,2023-08-31 15:59:55,0.219368157958984,FALSE
"MSFT230915P00317500","REGULAR","USD",2023-09-15,317.5,1.77,-0.01999998,-1.1173174,1.6,1.99,209,3209,2023-08-31 15:50:48,0.212044012451172,FALSE
"MSFT230915P00320000","REGULAR","USD",2023-09-15,320,2.35,-0.06000018,-2.489634,2.25,2.5,695,20707,2023-08-31 15:58:48,0.204719866943359,FALSE
"MSFT230915P00322500","REGULAR","USD",2023-09-15,322.5,2.95,-0.07999992,-2.6402614,2.98,3.1,522,1236,2023-08-31 15:58:12,0.195991926879883,FALSE
"MSFT230915P00325000","REGULAR","USD",2023-09-15,325,3.88,-0.01999998,-0.51282,3.8,3.95,883,10101,2023-08-31 15:58:58,0.191292266845703,FALSE
"MSFT230915P00327500","REGULAR","USD",2023-09-15,327.5,4.9,0,0,4.8,5.05,588,1343,2023-08-31 15:58:55,0.189278126831055,FALSE
"MSFT230915P00330000","REGULAR","USD",2023-09-15,330,6.05,0.05000019,0.83333653,6,6.25,958,20781,2023-08-31 15:59:54,0.183907086791992,TRUE
"MSFT230915P00332500","REGULAR","USD",2023-09-15,332.5,7.35,-0.1500001,-2.0000012,7.45,7.7,446,344,2023-08-31 15:58:10,0.180428117675781,TRUE
"MSFT230915P00335000","REGULAR","USD",2023-09-15,335,9.05,0.3000002,3.4285736,9.05,9.35,666,4914,2023-08-31 15:57:20,0.177193286743164,TRUE
"MSFT230915P00337500","REGULAR","USD",2023-09-15,337.5,10.9,0.4499998,4.3062186,10.15,11.95,176,162,2023-08-31 15:59:23,0.209968837890625,TRUE
"MSFT230915P00340000","REGULAR","USD",2023-09-15,340,12.85,0.35000038,2.800003,11.5,13.75,88,8267,2023-08-31 15:59:22,0.202278485107422,TRUE
