"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",225.15,226.85,5,11,3.25,1.4600179,2023-09-13 13:08:03,225.85,6.05078368652344,TRUE,110,FALSE,3.906250234375,0.01,2023-08-11 14:31:24,0,0,1764,1,0.03,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",220.15,221.85,10,8,3.8499908,1.7737806,2023-09-13 15:54:40,220.9,5.82422146972656,TRUE,115,FALSE,3.50000125,0.01,2023-08-16 13:13:48,0,0,1477,1,0.01,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",215.25,216.8,8,55,0.05000305,0.023497675,2023-09-13 10:10:50,212.85,5.55273743408203,TRUE,120,FALSE,3.50000125,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",209.7,211.95,20,262,0,0,2023-08-24 15:29:04,197.25,5.50390937011719,TRUE,125,FALSE,3.468751328125,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",205.15,206.85,3,273,-2.519989,-1.2224056,2023-09-11 11:14:01,203.63,5.20312849609375,TRUE,130,FALSE,3.50000125,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",200.25,202.2,10,278,1.1100006,0.55641913,2023-09-13 12:25:24,200.6,4.05469243164062,TRUE,135,FALSE,4.26562966796875,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",101.25,105,4,315,0,0,2022-12-14 14:46:44,121.31,1e-05,TRUE,140,FALSE,2.8750028125,0.01,2023-08-07 13:05:38,0,0,754,1,0.01,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",190.25,191.9,1,77,11.830002,6.6378646,2023-09-13 15:07:06,190.05,2.968752578125,TRUE,145,FALSE,4.88476951904297,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",185.3,187.5,1,43,8.25,4.6781964,2023-09-13 10:39:36,184.6,3.96093759765625,TRUE,150,FALSE,2.6250034375,0.01,2023-09-11 11:37:09,0,0,1201,1,0.01,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",0,0,8,265,0,0,2023-05-16 14:39:54,159.36,1e-05,TRUE,155,FALSE,2.50000375,0.01,2023-08-09 10:49:33,0,0,1529,4,0.01,0,"MSFT230915P00155000"
11,"MSFT230915C00160000",156.6,158.9,11,125,0,0,2023-07-18 12:34:47,206.45,1e-05,TRUE,160,FALSE,2.43750390625,0.01,2023-08-29 13:21:05,0,0,2077,3,0.01,0,"MSFT230915P00160000"
12,"MSFT230915C00165000",78.85,82.25,19,279,0,0,2022-12-14 14:47:16,98.57,1e-05,TRUE,165,FALSE,2.31250421875,0.01,2023-08-30 14:24:07,0,0,1242,2,0.01,0,"MSFT230915P00165000"
13,"MSFT230915C00170000",164.4,166.9,3,183,-12.75,-7.2054253,2023-09-13 11:53:43,164.2,3.88476591308594,TRUE,170,FALSE,2.250004375,0.01,2023-08-29 13:28:07,0,0,1712,20,0.01,0,"MSFT230915P00170000"
14,"MSFT230915C00175000",167.6,171.35,6,152,0,0,2023-06-23 11:20:02,162.39,6.2802755871582,TRUE,175,FALSE,2.1250046875,0.01,2023-08-18 15:45:34,0,0,3248,5,0.01,0,"MSFT230915P00175000"
15,"MSFT230915C00180000",135,139,2,451,0,0,2023-07-19 10:33:15,179.2,1e-05,TRUE,180,FALSE,2.06250484375,0.01,2023-08-22 14:57:59,0,0,2395,1,0.01,0,"MSFT230915P00180000"
16,"MSFT230915C00185000",150.25,151.85,1,266,0,0,2023-09-12 11:23:13,147.45,3.41797020507812,TRUE,185,FALSE,1.96875015625,0.01,2023-08-15 12:34:14,0,0,1664,2,0.01,0,"MSFT230915P00185000"
17,"MSFT230915C00190000",145.25,147.35,2,213,0,0,2023-09-06 13:47:09,141.55,2.75390936523438,TRUE,190,FALSE,1.875000625,0.01,2023-08-31 14:29:49,0,0,2733,20,0.01,0,"MSFT230915P00190000"
18,"MSFT230915C00195000",140.25,142.25,3,42,0,0,2023-08-31 10:44:58,134.35,2.56250359375,TRUE,195,FALSE,1.8125009375,0.01,2023-09-06 11:06:33,0,0,1506,5,0.01,0,"MSFT230915P00195000"
19,"MSFT230915C00200000",134.75,137.4,2,4170,0.44000244,0.32338855,2023-09-13 14:41:08,136.5,1.875000625,TRUE,200,FALSE,1.75000125,0.01,2023-09-08 10:57:39,0,0,7718,3,0.01,0,"MSFT230915P00200000"
20,"MSFT230915C00205000",130.7,132.15,3,128,0,0,2023-08-18 15:24:57,112,2.56445671386719,TRUE,205,FALSE,1.65625171875,0.01,2023-09-05 11:17:15,0,0,3117,26,0.01,0,"MSFT230915P00205000"
21,"MSFT230915C00210000",125.05,126.85,10,471,0,0,2023-08-23 13:58:35,119.85,2.77148744628906,TRUE,210,FALSE,1.5625021875,0.01,2023-09-05 11:16:49,0,0,5550,2,0.01,0,"MSFT230915P00210000"
22,"MSFT230915C00215000",120.25,121.85,1,2646,6.4699936,5.7231255,2023-09-13 11:53:50,119.52,2.65039399902344,TRUE,215,FALSE,1.5000025,0.01,2023-09-07 15:52:41,0,0,2871,10,0.01,0,"MSFT230915P00215000"
23,"MSFT230915C00220000",115.3,117.35,4,213,6.790001,6.1710453,2023-09-13 13:44:37,116.82,2.13477028808594,TRUE,220,FALSE,1.4375028125,0.01,2023-09-13 11:03:02,0,0,4609,1,0.01,0,"MSFT230915P00220000"
24,"MSFT230915C00225000",109.3,111.45,5,5841,0,0,2023-09-11 15:48:52,113.2,2.15234836914062,TRUE,225,FALSE,1.375003125,0.01,2023-09-11 13:47:18,0,0,8205,30,0.01,0,"MSFT230915P00225000"
25,"MSFT230915C00230000",104.85,107.2,2,1072,-2.600006,-2.4007444,2023-09-13 12:32:15,105.7,2.46484758789062,TRUE,230,FALSE,1.28125359375,0.01,2023-09-13 14:49:07,0,0,5044,4,0.01,0,"MSFT230915P00230000"
26,"MSFT230915C00235000",100,101.95,1,4118,5.079994,5.31269,2023-09-13 12:32:15,100.7,2.23828565429687,TRUE,235,FALSE,1.21875390625,0.01,2023-09-08 15:58:27,0,0,8589,88,0.01,0,"MSFT230915P00235000"
27,"MSFT230915C00240000",94.8,96.85,2,1461,0,0,2023-09-11 11:34:47,97.46,2.07910636474609,TRUE,240,FALSE,1.15625421875,0.01,2023-09-08 15:30:22,0,0,6796,33,0.01,0,"MSFT230915P00240000"
28,"MSFT230915C00245000",90.3,91.75,3,1479,-1.2600021,-1.3695675,2023-09-13 13:11:34,90.74,1.92285194824219,TRUE,245,FALSE,1.09375453125,0.01,2023-09-08 15:23:20,0,0,5492,103,0.01,0,"MSFT230915P00245000"
29,"MSFT230915C00250000",85.25,87.25,4,3506,3.550003,4.318739,2023-09-13 12:58:28,85.75,1.48242446289062,TRUE,250,FALSE,1.03125484375,0.01,2023-09-13 09:41:15,0,0,11261,1,0.01,0,"MSFT230915P00250000"
30,"MSFT230915C00255000",80.3,81.5,1,1510,2.9199982,3.7951627,2023-09-12 15:27:28,79.86,1.58496301269531,TRUE,255,FALSE,0.9687503125,0.01,2023-09-13 14:48:00,0,0,8695,6,0.01,0,"MSFT230915P00255000"
31,"MSFT230915C00260000",74.95,76.7,7,3036,2.2000046,2.9891367,2023-09-13 15:37:14,75.8,1.59082235839844,TRUE,260,FALSE,0.9062509375,0.01,2023-09-13 15:49:12,0,0,11679,32,0.01,0,"MSFT230915P00260000"
32,"MSFT230915C00265000",70.35,71.95,5,1541,0.80000305,1.1315461,2023-09-13 13:24:17,71.5,1.10547322265625,TRUE,265,FALSE,0.8437515625,0.01,2023-09-13 12:27:57,0,0,10321,23,0.01,0,"MSFT230915P00265000"
33,"MSFT230915C00270000",65.3,67.35,93,3750,3.380001,5.441084,2023-09-13 15:50:10,65.5,1.19726963867188,TRUE,270,FALSE,0.7812521875,0.01,2023-09-13 12:30:27,0,0,4777,1,0.01,0,"MSFT230915P00270000"
34,"MSFT230915C00275000",60.25,61.85,14,2610,2.880001,5.0086975,2023-09-13 15:28:23,60.38,1.35058918457031,TRUE,275,FALSE,0.7187528125,0.01,2023-09-13 10:33:32,0,0,5780,19,0.01,0,"MSFT230915P00275000"
35,"MSFT230915C00280000",55.45,57.4,22,7548,3.75,7.1976967,2023-09-13 15:40:42,55.85,1.08008272460938,TRUE,280,FALSE,0.6562534375,0.01,2023-09-13 15:54:45,-50,-0.01,5686,61,0.01,0,"MSFT230915P00280000"
36,"MSFT230915C00285000",49.6,51.55,4,2384,3.9300003,8.2789135,2023-09-13 15:51:31,51.4,1.04639148681641,TRUE,285,FALSE,0.5937540625,0.01,2023-09-13 15:52:18,-50,-0.01,4627,136,0.01,0,"MSFT230915P00285000"
37,"MSFT230915C00287500",47.9,49.65,1,297,0,0,2023-09-08 15:48:58,46.56,0.866212275390625,TRUE,287.5,FALSE,0.5937540625,0.01,2023-09-13 15:09:29,-66.66667,-0.02,566,12,0.02,0,"MSFT230915P00287500"
38,"MSFT230915C00290000",45.45,46.55,11,4779,3.459999,8.189346,2023-09-13 15:35:16,45.71,0.954590297851562,TRUE,290,FALSE,0.958496508789062,0.01,2023-09-13 15:04:17,-66.66667,-0.02,5452,57,0.99,0.01,"MSFT230915P00290000"
39,"MSFT230915C00292500",43.2,44.6,3,404,-3.6699982,-8.234234,2023-09-13 10:05:36,40.9,0.848634326171875,TRUE,292.5,FALSE,1.07861788818359,0.02,2023-09-13 15:43:13,-33.333336,-0.01,497,108,2.14,0.01,"MSFT230915P00292500"
40,"MSFT230915C00295000",40.45,41.7,23,2079,3.880001,10.332892,2023-09-13 13:27:31,41.43,0.5273484765625,TRUE,295,FALSE,0.5898478515625,0.01,2023-09-13 15:31:17,-66.66667,-0.02,4711,147,0.07,0.01,"MSFT230915P00295000"
41,"MSFT230915C00297500",37.9,39.3,1,243,3.0100021,8.370418,2023-09-13 13:27:31,38.97,0.554691953125,TRUE,297.5,FALSE,0.945313046875,0.01,2023-09-13 15:43:13,-66.66667,-0.02,982,71,1.88,0.01,"MSFT230915P00297500"
42,"MSFT230915C00300000",35.7,36.95,320,12425,3.5800018,11.187506,2023-09-13 15:49:43,35.58,0.686526572265625,TRUE,300,FALSE,0.5039112109375,0.02,2023-09-13 15:55:48,-33.333336,-0.01,21502,275,0.03,0.01,"MSFT230915P00300000"
43,"MSFT230915C00302500",32.85,34.45,5,227,3.1499996,10.732536,2023-09-12 15:59:11,32.5,0.54102021484375,TRUE,302.5,FALSE,0.4687553125,0.03,2023-09-13 15:43:13,-25,-0.01,1432,113,0.03,0.01,"MSFT230915P00302500"
44,"MSFT230915C00305000",30.35,32.2,8,2982,2.83,10.227683,2023-09-13 15:44:03,30.5,0.58008232421875,TRUE,305,FALSE,0.437505625,0.03,2023-09-13 15:27:15,-25,-0.01,8231,158,0.03,0.02,"MSFT230915P00305000"
45,"MSFT230915C00307500",28.1,29.35,5,245,2.210001,8.875506,2023-09-13 11:02:56,27.11,0.514653291015625,TRUE,307.5,FALSE,0.40430283203125,0.03,2023-09-13 15:34:22,-40.000004,-0.020000001,1744,25,0.03,0.02,"MSFT230915P00307500"
46,"MSFT230915C00310000",25.35,26.5,57,6600,3.25,14.099784,2023-09-13 15:58:53,26.3,0.574711284179688,TRUE,310,FALSE,0.38477177734375,0.03,2023-09-13 15:51:43,-50,-0.03,12212,476,0.04,0.03,"MSFT230915P00310000"
47,"MSFT230915C00312500",22.9,24.6,39,252,2.9699993,15.0379715,2023-09-13 15:22:51,22.72,0.657229990234375,TRUE,312.5,FALSE,0.351568984375,0.03,2023-09-13 15:10:02,-62.5,-0.049999997,3310,247,0.04,0.03,"MSFT230915P00312500"
48,"MSFT230915C00315000",20.45,22.05,424,3320,3.0699997,17.512833,2023-09-13 15:48:50,20.6,0.59570716796875,TRUE,315,FALSE,0.32813171875,0.04,2023-09-13 15:59:18,-66.66667,-0.08,9634,470,0.05,0.04,"MSFT230915P00315000"
49,"MSFT230915C00317500",18,19.6,37,532,3.25,21.103897,2023-09-13 15:54:30,18.65,0.551029880371094,TRUE,317.5,FALSE,0.3007882421875,0.06,2023-09-13 15:58:27,-64.70588,-0.11,5269,489,0.06,0.05,"MSFT230915P00317500"
50,"MSFT230915C00320000",15.5,17.15,768,13878,3.2300005,25.097128,2023-09-13 15:53:50,16.1,0.504399487304688,TRUE,320,FALSE,0.27149166015625,0.07,2023-09-13 15:59:34,-75,-0.21000001,19494,2414,0.07,0.06,"MSFT230915P00320000"
51,"MSFT230915C00322500",13,14.65,213,1260,3.0500002,28.504675,2023-09-13 15:04:12,13.75,0.448735981445312,TRUE,322.5,FALSE,0.253425434570313,0.1,2023-09-13 15:59:30,-77.77778,-0.35,3531,2988,0.11,0.05,"MSFT230915P00322500"
52,"MSFT230915C00325000",10.55,12.2,485,5520,3.6099997,46.341457,2023-09-13 15:55:51,11.4,0.398199377441406,TRUE,325,FALSE,0.233406103515625,0.17,2023-09-13 15:59:50,-77.02702,-0.57,11741,6602,0.17,0.14,"MSFT230915P00325000"
53,"MSFT230915C00327500",8.2,9.85,349,2723,3.1999998,55.652172,2023-09-13 15:59:47,8.95,0.356207609863281,TRUE,327.5,FALSE,0.2148516015625,0.28,2023-09-13 15:59:32,-76.66667,-0.9200001,4890,3340,0.28,0.26,"MSFT230915P00327500"
54,"MSFT230915C00330000",6.65,7,2804,27560,2.6599998,65.03667,2023-09-13 15:59:58,6.75,0.254157849121094,TRUE,330,FALSE,0.201424001464844,0.5,2023-09-13 15:59:48,-74.619286,-1.47,20650,9491,0.51,0.45,"MSFT230915P00330000"
