"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",219.4,221.05,16,17,-6.950012,-3.0402503,2023-09-15 13:43:20,221.65,6.12500234375,TRUE,110,FALSE,6.687501640625,0.01,2023-08-11 14:31:24,0,0,1764,1,0.03,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",214.4,216.05,11,17,-7.449997,-3.3445551,2023-09-15 15:54:00,215.3,5.87500265625,TRUE,115,FALSE,0.500005,0.01,2023-08-16 13:13:48,0,0,1477,1,0,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",209.45,211,14,48,-9.949997,-4.513494,2023-09-15 10:48:11,210.5,5.7500028125,TRUE,120,FALSE,6.0000025,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",204.6,205.7,2,262,10.149994,5.145751,2023-09-15 12:16:02,207.4,8.56641089599609,TRUE,125,FALSE,5.937502578125,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",199.65,200.95,15,272,-1.230011,-0.6040421,2023-09-15 12:16:02,202.4,6.64062669921875,TRUE,130,FALSE,5.937502578125,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",194.5,195.8,13,268,-2.100006,-1.0468625,2023-09-15 10:25:53,198.5,8.15625490234375,TRUE,135,FALSE,7.27343840820313,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",189.6,190.85,7,315,74.84,61.69318,2023-09-15 09:32:53,196.15,4.87500390625,TRUE,140,FALSE,4.87500390625,0.01,2023-08-07 13:05:38,0,0,754,1,0.01,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",184.55,186.6,2,77,1.0999908,0.5787902,2023-09-15 09:32:53,191.15,7.04687619140625,TRUE,145,FALSE,8.32422354736328,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",179.5,182.5,9,42,-2.8200073,-1.5276312,2023-09-15 11:39:47,181.78,7.60937548828125,TRUE,150,FALSE,4.500004375,0.01,2023-09-11 11:37:09,0,0,1201,1,0.01,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",173.85,176,6,265,15.789993,9.90838,2023-09-15 09:31:29,175.15,7.32421959472656,TRUE,155,FALSE,4.2500046875,0.01,2023-08-09 10:49:33,0,0,1529,4,0.01,0,"MSFT230915P00155000"
