"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",220.55,223.95,3,8,-5.5,-2.411223,2023-09-12 11:04:28,222.6,4.82617584228516,TRUE,110,FALSE,3.343751640625,0.01,2023-08-11 14:31:24,0,0,1764,1,0.03,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",215.6,219,4,4,-6.149994,-2.7553737,2023-09-12 15:00:11,217.05,4.70898848876953,TRUE,115,FALSE,3.0000025,0.01,2023-08-16 13:13:48,0,0,1477,1,0.01,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",211.15,214,2,55,-5.050003,-2.3181102,2023-09-12 15:54:50,212.8,4.82422271972656,TRUE,120,FALSE,3.0000025,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",206.2,207.95,20,262,0,0,2023-08-24 15:29:04,197.25,4.04297369628906,TRUE,125,FALSE,2.968752578125,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",201.15,203.55,9,273,0,0,2023-09-11 11:14:01,206.15,4.25391093261719,TRUE,130,FALSE,2.9843775390625,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",195.85,198.7,98,278,0,0,2023-09-08 14:42:29,199.49,4.01172373535156,TRUE,135,FALSE,3.65234461914063,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",101.25,105,4,315,0,0,2022-12-14 14:46:44,121.31,1e-05,TRUE,140,FALSE,2.43750390625,0.01,2023-08-07 13:05:38,0,0,754,1,0.01,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",185,188.85,1,77,0,0,2023-08-22 13:20:10,178.22,3.18750203125,TRUE,145,FALSE,4.17969227539063,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",179.75,183.65,1,43,0,0,2023-08-29 10:17:10,176.35,4.46680129150391,TRUE,150,FALSE,2.250004375,0.01,2023-09-11 11:37:09,0,0,1201,1,0.01,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",0,0,8,265,0,0,2023-05-16 14:39:54,159.36,1e-05,TRUE,155,FALSE,2.1250046875,0.01,2023-08-09 10:49:33,0,0,1529,4,0.01,0,"MSFT230915P00155000"
11,"MSFT230915C00160000",156.6,158.9,11,125,0,0,2023-07-18 12:34:47,206.45,1e-05,TRUE,160,FALSE,2.06250484375,0.01,2023-08-29 13:21:05,0,0,2077,3,0.01,0,"MSFT230915P00160000"
12,"MSFT230915C00165000",78.85,82.25,19,279,0,0,2022-12-14 14:47:16,98.57,1e-05,TRUE,165,FALSE,1.96875015625,0.01,2023-08-30 14:24:07,0,0,1242,2,0.01,0,"MSFT230915P00165000"
13,"MSFT230915C00170000",157.5,159.5,1,183,0,0,2023-07-24 10:31:57,176.95,1e-05,TRUE,170,FALSE,1.90625046875,0.01,2023-08-29 13:28:07,0,0,1712,20,0.01,0,"MSFT230915P00170000"
14,"MSFT230915C00175000",167.6,171.35,6,152,0,0,2023-06-23 11:20:02,162.39,6.1572288659668,TRUE,175,FALSE,1.8125009375,0.01,2023-08-18 15:45:34,0,0,3248,5,0.01,0,"MSFT230915P00175000"
15,"MSFT230915C00180000",135,139,2,451,0,0,2023-07-19 10:33:15,179.2,1e-05,TRUE,180,FALSE,1.75000125,0.01,2023-08-22 14:57:59,0,0,2395,1,0.01,0,"MSFT230915P00180000"
16,"MSFT230915C00185000",145.6,148.8,1,266,9.599991,6.9640846,2023-09-12 11:23:13,147.45,2.64648775878906,TRUE,185,FALSE,1.6875015625,0.01,2023-08-15 12:34:14,0,0,1664,2,0.01,0,"MSFT230915P00185000"
17,"MSFT230915C00190000",140.6,142.55,2,213,0,0,2023-09-06 13:47:09,141.55,2.78613584716797,TRUE,190,FALSE,1.625001875,0.01,2023-08-31 14:29:49,0,0,2733,20,0.01,0,"MSFT230915P00190000"
18,"MSFT230915C00195000",135.55,139,3,42,0,0,2023-08-31 10:44:58,134.35,2.49023814941406,TRUE,195,FALSE,1.53125234375,0.01,2023-09-06 11:06:33,0,0,1506,5,0.01,0,"MSFT230915P00195000"
19,"MSFT230915C00200000",130.6,133.75,1,4169,4.5599976,3.4676785,2023-09-12 09:52:42,136.06,2.30664485839844,TRUE,200,FALSE,1.46875265625,0.01,2023-09-08 10:57:39,0,0,7718,3,0.01,0,"MSFT230915P00200000"
20,"MSFT230915C00205000",125.45,128.7,3,128,0,0,2023-08-18 15:24:57,112,2.11719220703125,TRUE,205,FALSE,1.375003125,0.01,2023-09-05 11:17:15,0,0,3117,26,0.01,0,"MSFT230915P00205000"
21,"MSFT230915C00210000",120.4,123.65,10,471,0,0,2023-08-23 13:58:35,119.85,1.97265638671875,TRUE,210,FALSE,1.3125034375,0.01,2023-09-05 11:16:49,0,0,5550,2,0.01,0,"MSFT230915P00210000"
22,"MSFT230915C00215000",115.7,118.35,4,2646,0,0,2023-08-29 14:24:22,113.05,1.8828130859375,TRUE,215,FALSE,1.25000375,0.01,2023-09-07 15:52:41,0,0,2871,10,0.01,0,"MSFT230915P00215000"
23,"MSFT230915C00220000",110.85,112.85,5,213,0,0,2023-09-08 09:30:02,110.03,1.55078349609375,TRUE,220,FALSE,1.1875040625,0.01,2023-09-11 13:47:18,0,0,4609,10,0.01,0,"MSFT230915P00220000"
24,"MSFT230915C00225000",105.8,108.75,5,5841,0,0,2023-09-11 15:48:52,113.2,1.88964898925781,TRUE,225,FALSE,1.125004375,0.01,2023-09-11 13:47:18,0,0,8205,30,0.01,0,"MSFT230915P00225000"
25,"MSFT230915C00230000",100.7,103.75,3,1072,0,0,2023-09-11 15:59:22,108.3,1.76660272949219,TRUE,230,FALSE,1.09375453125,0.01,2023-09-12 15:42:22,0,0,5044,21,0.01,0,"MSFT230915P00230000"
26,"MSFT230915C00235000",95.2,98.65,1,4118,0,0,2023-09-07 10:26:04,95.62,1.43359658203125,TRUE,235,FALSE,1.03125484375,0.01,2023-09-08 15:58:27,0,0,8589,88,0.01,0,"MSFT230915P00235000"
27,"MSFT230915C00240000",90.6,93.8,2,1461,0,0,2023-09-11 11:34:47,97.46,1.57226776367187,TRUE,240,FALSE,0.9687503125,0.01,2023-09-08 15:30:22,0,0,6796,33,0.01,0,"MSFT230915P00240000"
28,"MSFT230915C00245000",85.85,88.8,4,1479,0,0,2023-09-11 09:52:28,92,1.55078349609375,TRUE,245,FALSE,0.9062509375,0.01,2023-09-08 15:23:20,0,0,5492,103,0.01,0,"MSFT230915P00245000"
29,"MSFT230915C00250000",80.45,83.8,143,3511,-4.7000046,-5.4085207,2023-09-12 15:57:00,82.2,1.35742508789062,TRUE,250,FALSE,0.8437515625,0.01,2023-09-12 11:46:02,-50,-0.01,11255,6,0.01,0,"MSFT230915P00250000"
30,"MSFT230915C00255000",75.85,79,20,1525,-6.169998,-7.423894,2023-09-12 15:27:29,76.94,1.41650682373047,TRUE,255,FALSE,0.7812521875,0.01,2023-09-12 15:19:42,0,0,8696,4,0.01,0,"MSFT230915P00255000"
31,"MSFT230915C00260000",71.15,73.15,11,3041,-3.4000015,-4.415586,2023-09-12 12:55:34,73.6,1.20703521484375,TRUE,260,FALSE,0.73437765625,0.01,2023-09-11 14:47:02,0,0,11679,1,0.01,0,"MSFT230915P00260000"
32,"MSFT230915C00265000",65.8,67.65,1,1541,-3.7000046,-4.9731245,2023-09-12 09:33:38,70.7,1.31592138916016,TRUE,265,FALSE,0.687503125,0.01,2023-09-12 13:56:56,0,0,10312,23,0.01,0,"MSFT230915P00265000"
33,"MSFT230915C00270000",61,64,14,3757,-6.2800026,-9.18129,2023-09-12 15:23:23,62.12,1.1796916015625,TRUE,270,FALSE,0.62500375,0.01,2023-09-12 15:59:35,-50,-0.01,4647,357,0.01,0,"MSFT230915P00270000"
34,"MSFT230915C00275000",56.15,58.55,57,2618,-5.529999,-8.773598,2023-09-12 14:27:01,57.5,1.04443837158203,TRUE,275,FALSE,0.64062859375,0.01,2023-09-12 14:34:03,-50,-0.01,5803,49,0.02,0.01,"MSFT230915P00275000"
35,"MSFT230915C00280000",51.7,53.75,151,7561,-6.550003,-11.167951,2023-09-12 14:50:59,52.1,1.06689919677734,TRUE,280,FALSE,0.585941640625,0.02,2023-09-12 15:47:38,100,0.01,5674,119,0.02,0.01,"MSFT230915P00280000"
36,"MSFT230915C00285000",46.25,48.8,11,2384,-5.1499977,-9.787149,2023-09-12 15:12:17,47.47,0.928223374023437,TRUE,285,FALSE,0.5429733203125,0.02,2023-09-12 14:53:59,0,0,4519,539,0.03,0.01,"MSFT230915P00285000"
37,"MSFT230915C00287500",43.4,46.6,1,297,0,0,2023-09-08 15:48:58,46.56,0.8789074609375,TRUE,287.5,FALSE,0.959961337890625,0.03,2023-09-11 12:57:17,0,0,566,17,2.15,0,"MSFT230915P00287500"
38,"MSFT230915C00290000",40.3,42.5,82,4852,-6.2299995,-12.850658,2023-09-12 15:59:16,42.25,0.835939140625,TRUE,290,FALSE,0.507817421875,0.03,2023-09-12 15:13:01,0,0,5491,69,0.04,0.02,"MSFT230915P00290000"
