"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915P00110000","REGULAR","USD",2023-09-15,110,0.01,0,0,0,0.03,1,1764,2023-08-11 14:31:24,3.031252421875,FALSE
"MSFT230915P00115000","REGULAR","USD",2023-09-15,115,0.01,0,0,0,0.06,1,1477,2023-08-16 13:13:48,3.093752265625,FALSE
"MSFT230915P00120000","REGULAR","USD",2023-09-15,120,0.01,0,0,0,0.02,1,2510,2023-07-26 13:53:51,2.718753203125,FALSE
"MSFT230915P00125000","REGULAR","USD",2023-09-15,125,0.01,0,0,0,0.03,6,1153,2023-07-20 12:22:01,2.718753203125,FALSE
"MSFT230915P00130000","REGULAR","USD",2023-09-15,130,0.02,0,0,0,0.05,3,3955,2023-07-27 14:58:26,2.718753203125,FALSE
"MSFT230915P00135000","REGULAR","USD",2023-09-15,135,0.02,0,0,0,0.5,3,1226,2023-07-27 15:58:43,3.32031419921875,FALSE
"MSFT230915P00140000","REGULAR","USD",2023-09-15,140,0.01,0,0,0,0.01,1,754,2023-08-07 13:05:38,2.18750453125,FALSE
"MSFT230915P00145000","REGULAR","USD",2023-09-15,145,0.02,0,0,0,2.13,1,372,2023-07-21 15:52:21,3.80273486816406,FALSE
"MSFT230915P00150000","REGULAR","USD",2023-09-15,150,0.01,0,0,0,0.01,1,1201,2023-09-11 11:37:09,2.06250484375,FALSE
"MSFT230915P00155000","REGULAR","USD",2023-09-15,155,0.01,0,0,0,0.01,4,1529,2023-08-09 10:49:33,1.96875015625,FALSE
"MSFT230915P00160000","REGULAR","USD",2023-09-15,160,0.01,0,0,0,0.04,3,2077,2023-08-29 13:21:05,2.1093797265625,FALSE
"MSFT230915P00165000","REGULAR","USD",2023-09-15,165,0.01,0,0,0,0.06,2,1242,2023-08-30 14:24:07,2.1093797265625,FALSE
"MSFT230915P00170000","REGULAR","USD",2023-09-15,170,0.01,0,0,0,0.16,20,1712,2023-08-29 13:28:07,2.22656693359375,FALSE
"MSFT230915P00175000","REGULAR","USD",2023-09-15,175,0.01,0,0,0,0.52,5,3248,2023-08-18 15:45:34,2.4531288671875,FALSE
"MSFT230915P00180000","REGULAR","USD",2023-09-15,180,0.01,0,0,0,0.05,1,2395,2023-08-22 14:57:59,1.828125859375,FALSE
"MSFT230915P00185000","REGULAR","USD",2023-09-15,185,0.01,0,0,0,2.13,2,1664,2023-08-15 12:34:14,2.80664360839844,FALSE
"MSFT230915P00190000","REGULAR","USD",2023-09-15,190,0.01,0,0,0,0.01,20,2733,2023-08-31 14:29:49,1.46875265625,FALSE
"MSFT230915P00195000","REGULAR","USD",2023-09-15,195,0.01,0,0,0,0.01,5,1506,2023-09-06 11:06:33,1.40625296875,FALSE
"MSFT230915P00200000","REGULAR","USD",2023-09-15,200,0.01,0,0,0,0.01,3,7718,2023-09-08 10:57:39,1.34375328125,FALSE
"MSFT230915P00205000","REGULAR","USD",2023-09-15,205,0.01,0,0,0,0.1,26,3117,2023-09-05 11:17:15,1.578127109375,FALSE
"MSFT230915P00210000","REGULAR","USD",2023-09-15,210,0.01,0,0,0,0.01,2,5550,2023-09-05 11:16:49,1.25000375,FALSE
"MSFT230915P00215000","REGULAR","USD",2023-09-15,215,0.01,0,0,0,0.01,10,2871,2023-09-07 15:52:41,1.1875040625,FALSE
"MSFT230915P00220000","REGULAR","USD",2023-09-15,220,0.01,0,0,0,0.01,10,4609,2023-09-11 13:47:18,1.125004375,FALSE
"MSFT230915P00225000","REGULAR","USD",2023-09-15,225,0.01,0,0,0,0.02,30,8205,2023-09-11 13:47:18,1.125004375,FALSE
"MSFT230915P00230000","REGULAR","USD",2023-09-15,230,0.01,0,0,0,0.02,20,5044,2023-09-11 10:28:57,1.0625046875,FALSE
"MSFT230915P00235000","REGULAR","USD",2023-09-15,235,0.01,0,0,0,0.01,88,8589,2023-09-08 15:58:27,0.9687503125,FALSE
"MSFT230915P00240000","REGULAR","USD",2023-09-15,240,0.01,0,0,0,0.01,33,6796,2023-09-08 15:30:22,0.9062509375,FALSE
"MSFT230915P00245000","REGULAR","USD",2023-09-15,245,0.01,0,0,0,0.01,103,5492,2023-09-08 15:23:20,0.8437515625,FALSE
"MSFT230915P00250000","REGULAR","USD",2023-09-15,250,0.02,0.01,100,0,0.01,10,11255,2023-09-11 14:22:52,0.812501875,FALSE
"MSFT230915P00255000","REGULAR","USD",2023-09-15,255,0.01,-0.01,-50,0,0.01,14,8696,2023-09-11 09:56:11,0.7500025,FALSE
"MSFT230915P00260000","REGULAR","USD",2023-09-15,260,0.01,-0.01,-50,0,0.01,195,11675,2023-09-11 14:47:02,0.70312796875,FALSE
"MSFT230915P00265000","REGULAR","USD",2023-09-15,265,0.01,-0.02,-66.66667,0,0.01,550,9792,2023-09-11 15:30:02,0.6562534375,FALSE
"MSFT230915P00270000","REGULAR","USD",2023-09-15,270,0.02,-0.01,-33.333336,0.01,0.02,64,4638,2023-09-11 09:58:31,0.67187828125,FALSE
"MSFT230915P00275000","REGULAR","USD",2023-09-15,275,0.02,-0.02,-50,0.01,0.02,158,5822,2023-09-11 15:50:18,0.62500375,FALSE
"MSFT230915P00280000","REGULAR","USD",2023-09-15,280,0.01,-0.04,-79.99999,0.01,0.02,725,5839,2023-09-11 15:39:35,0.570316796875,FALSE
"MSFT230915P00285000","REGULAR","USD",2023-09-15,285,0.02,-0.030000001,-60.000004,0.01,0.02,663,4372,2023-09-11 15:51:51,0.523442265625,FALSE
"MSFT230915P00287500","REGULAR","USD",2023-09-15,287.5,0.03,-0.020000001,-40.000004,0,0.33,17,567,2023-09-11 12:57:17,0.664065859375,FALSE
"MSFT230915P00290000","REGULAR","USD",2023-09-15,290,0.03,-0.03,-50,0.02,0.03,211,5495,2023-09-11 15:57:29,0.500005,FALSE
"MSFT230915P00292500","REGULAR","USD",2023-09-15,292.5,0.03,-0.03,-50,0.01,0.19,59,437,2023-09-11 11:30:03,0.56055126953125,FALSE
"MSFT230915P00295000","REGULAR","USD",2023-09-15,295,0.02,-0.05,-71.42857,0.03,0.07,90,4745,2023-09-11 15:51:11,0.50586431640625,FALSE
"MSFT230915P00297500","REGULAR","USD",2023-09-15,297.5,0.04,-0.030000001,-42.857143,0.03,0.04,15,987,2023-09-11 13:35:45,0.445318046875,FALSE
"MSFT230915P00300000","REGULAR","USD",2023-09-15,300,0.04,-0.050000004,-55.555557,0.04,0.05,568,21563,2023-09-11 15:51:41,0.43164630859375,FALSE
"MSFT230915P00302500","REGULAR","USD",2023-09-15,302.5,0.05,-0.029999997,-37.499996,0.04,0.05,75,1462,2023-09-11 15:53:59,0.4062559375,FALSE
"MSFT230915P00305000","REGULAR","USD",2023-09-15,305,0.04,-0.060000002,-60.000004,0.04,0.09,782,8529,2023-09-11 15:59:57,0.4101621484375,FALSE
"MSFT230915P00307500","REGULAR","USD",2023-09-15,307.5,0.05,-0.06999999,-58.333332,0.05,0.06,311,1694,2023-09-11 15:35:05,0.36133451171875,FALSE
"MSFT230915P00310000","REGULAR","USD",2023-09-15,310,0.06,-0.08,-57.142853,0.05,0.07,630,12374,2023-09-11 15:55:58,0.340826904296875,FALSE
"MSFT230915P00312500","REGULAR","USD",2023-09-15,312.5,0.07,-0.11000001,-61.11111,0.06,0.08,901,3006,2023-09-11 15:55:43,0.319342744140625,FALSE
"MSFT230915P00315000","REGULAR","USD",2023-09-15,315,0.09,-0.13,-59.090908,0.08,0.09,1454,9047,2023-09-11 15:58:50,0.29688203125,FALSE
"MSFT230915P00317500","REGULAR","USD",2023-09-15,317.5,0.11,-0.19000001,-63.333332,0.1,0.11,1142,4490,2023-09-11 15:59:22,0.2773509765625,FALSE
"MSFT230915P00320000","REGULAR","USD",2023-09-15,320,0.14,-0.26,-65,0.14,0.15,1631,21669,2023-09-11 15:58:50,0.2617261328125,FALSE
"MSFT230915P00322500","REGULAR","USD",2023-09-15,322.5,0.19,-0.45,-70.3125,0.19,0.21,1135,2770,2023-09-11 15:59:56,0.246589565429688,FALSE
"MSFT230915P00325000","REGULAR","USD",2023-09-15,325,0.29,-0.6,-67.41573,0.29,0.31,3179,11415,2023-09-11 15:59:33,0.233161965332031,FALSE
"MSFT230915P00327500","REGULAR","USD",2023-09-15,327.5,0.47,-0.78,-62.399994,0.45,0.5,2190,3125,2023-09-11 15:59:53,0.225105405273437,FALSE
