"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",218.85,221.6,1,4,0,0,2023-08-23 13:43:20,219.17,3.02734618164062,TRUE,110,FALSE,2.218754453125,0.01,2023-08-11 14:31:24,0,0,1764,1,0.03,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",214.15,216.55,1,2,0,0,2023-08-10 15:08:16,208.45,3.04492426269531,TRUE,115,FALSE,2.2656293359375,0.01,2023-08-16 13:13:48,0,0,1477,1,0.06,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",208.5,211.55,8,54,17.190002,8.9108925,2023-09-07 15:13:24,210.1,2.4843787890625,TRUE,120,FALSE,1.984375078125,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",203.75,206.55,20,265,0,0,2023-08-24 15:29:04,197.25,2.60351911621094,TRUE,125,FALSE,1.96875015625,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",198.95,201.05,28,297,-1,-0.49714142,2023-09-07 15:06:31,200.15,2.23828565429687,TRUE,130,FALSE,1.984375078125,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",194,196.65,40,294,0,0,2023-09-06 15:49:48,197.5,2.58887071533203,TRUE,135,FALSE,2.4218789453125,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",101.25,105,4,315,0,0,2022-12-14 14:46:44,121.31,1e-05,TRUE,140,FALSE,1.625001875,0.01,2023-08-07 13:05:38,0,0,754,1,0.01,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",183.6,186.6,1,77,0,0,2023-08-22 13:20:10,178.22,2.16602020996094,TRUE,145,FALSE,2.77246400634766,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",178.6,181.65,1,43,0,0,2023-08-29 10:17:10,176.35,2.11328596679687,TRUE,150,FALSE,1.5625021875,0.01,2023-08-15 11:28:04,0,0,1201,3,0.02,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",0,0,8,265,0,0,2023-05-16 14:39:54,159.36,1e-05,TRUE,155,FALSE,1.59375203125,0.01,2023-08-09 10:49:33,0,0,1529,4,0.04,0,"MSFT230915P00155000"
11,"MSFT230915C00160000",156.6,158.9,11,125,0,0,2023-07-18 12:34:47,206.45,1e-05,TRUE,160,FALSE,1.53125234375,0.01,2023-08-29 13:21:05,0,0,2077,3,0.04,0,"MSFT230915P00160000"
12,"MSFT230915C00165000",78.85,82.25,19,279,0,0,2022-12-14 14:47:16,98.57,1e-05,TRUE,165,FALSE,1.5234398828125,0.01,2023-08-30 14:24:07,0,0,1242,2,0.06,0,"MSFT230915P00165000"
13,"MSFT230915C00170000",157.5,159.5,1,183,0,0,2023-07-24 10:31:57,176.95,1e-05,TRUE,170,FALSE,1.7265638671875,0.01,2023-08-29 13:28:07,0,0,1712,20,0.3,0,"MSFT230915P00170000"
14,"MSFT230915C00175000",167.6,171.35,6,152,0,0,2023-06-23 11:20:02,162.39,4.29224096282959,TRUE,175,FALSE,1.66211106445313,0.01,2023-08-18 15:45:34,0,0,3248,5,0.31,0,"MSFT230915P00175000"
15,"MSFT230915C00180000",135,139,2,451,0,0,2023-07-19 10:33:15,179.2,1e-05,TRUE,180,FALSE,1.3203158984375,0.01,2023-08-22 14:57:59,0,0,2395,1,0.05,0,"MSFT230915P00180000"
16,"MSFT230915C00185000",143.8,146.7,1,266,0,0,2023-08-28 10:53:44,137.85,1.69140779296875,TRUE,185,FALSE,1.52734611328125,0.01,2023-08-15 12:34:14,0,0,1664,2,0.31,0,"MSFT230915P00185000"
17,"MSFT230915C00190000",139.05,141.65,2,213,0,0,2023-09-06 13:47:09,141.55,1.68359533203125,TRUE,190,FALSE,0.500005,0.01,2023-08-31 14:29:49,0,0,2733,20,0,0,"MSFT230915P00190000"
18,"MSFT230915C00195000",133.95,136.55,3,42,0,0,2023-08-31 10:44:58,134.35,1.55273661132812,TRUE,195,FALSE,1.000005,0.01,2023-09-06 11:06:33,0,0,1506,5,0.01,0,"MSFT230915P00195000"
19,"MSFT230915C00200000",129.05,131.75,10,4159,-1.9900055,-1.4907525,2023-09-05 15:19:26,131.5,1.56836153320312,TRUE,200,FALSE,0.9687503125,0.01,2023-09-06 11:14:45,0,0,7718,1,0.01,0,"MSFT230915P00200000"
20,"MSFT230915C00205000",123.8,126.5,3,128,0,0,2023-08-18 15:24:57,112,1.35254229980469,TRUE,205,FALSE,1.125004375,0.01,2023-09-05 11:17:15,0,0,3117,26,0.1,0,"MSFT230915P00205000"
21,"MSFT230915C00210000",118.65,121.7,10,471,0,0,2023-08-23 13:58:35,119.85,1.30859720703125,TRUE,210,FALSE,0.87500125,0.01,2023-09-05 11:16:49,0,0,5550,2,0.01,0,"MSFT230915P00210000"
22,"MSFT230915C00215000",114,116.75,4,2646,0,0,2023-08-29 14:24:22,113.05,1.35547197265625,TRUE,215,FALSE,0.8437515625,0.01,2023-09-07 15:52:41,0,0,2871,10,0.01,0,"MSFT230915P00215000"
23,"MSFT230915C00220000",109.15,111.75,5,208,0,0,2023-08-22 13:33:39,103.69,1.32275729248047,TRUE,220,FALSE,0.7812521875,0.01,2023-09-06 10:49:09,0,0,4609,7,0.01,0,"MSFT230915P00220000"
24,"MSFT230915C00225000",104,106.75,1,5845,6.590004,6.6498528,2023-09-07 15:25:29,105.69,1.22851948242188,TRUE,225,FALSE,0.820314296875,0.01,2023-09-07 15:37:28,0,0,8226,41,0.03,0,"MSFT230915P00225000"
25,"MSFT230915C00230000",98.7,101.8,2,1082,2.5699997,2.6272743,2023-09-07 15:26:48,100.39,1.11133256835938,TRUE,230,FALSE,0.7812521875,0.01,2023-09-07 10:29:49,0,0,5026,32,0.02,0.01,"MSFT230915P00230000"
26,"MSFT230915C00235000",93.85,96.4,1,4119,-3.2199936,-3.257784,2023-09-07 10:26:04,95.62,0.985351708984375,TRUE,235,FALSE,0.70312796875,0.01,2023-09-07 14:58:49,0,0,8404,125,0.02,0,"MSFT230915P00235000"
27,"MSFT230915C00240000",89,91.8,2,1463,0,0,2023-09-05 15:56:54,93.72,1.05566878417969,TRUE,240,FALSE,0.695315546875,0.01,2023-09-07 14:18:52,0,0,6791,11,0.02,0.01,"MSFT230915P00240000"
