"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",216,219.75,1,4,0,0,2023-08-23 13:43:20,219.17,2.00391124023438,TRUE,110,FALSE,1.65625171875,0.01,2023-08-11 14:31:24,0,0,1764,1,0.03,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",211,214.75,1,2,0,0,2023-08-10 15:08:16,208.45,1.92578162109375,TRUE,115,FALSE,1.6875015625,0.01,2023-08-16 13:13:48,0,0,1477,1,0.06,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",206,209.75,3,54,0,0,2023-08-18 10:08:27,192.91,1.8515632421875,TRUE,120,FALSE,1.484377578125,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",201,204.8,20,265,0,0,2023-08-24 15:29:04,197.25,1.8203133984375,TRUE,125,FALSE,1.46875265625,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",197.1,199.35,30,368,-0.94999695,-0.4760696,2023-08-31 15:32:10,198.6,2.03809084228516,TRUE,130,FALSE,1.4765651171875,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",191.15,194.8,60,295,0,0,2023-08-24 15:27:23,186.36,1.77148551757812,TRUE,135,FALSE,1.8046884765625,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",101.25,105,4,315,0,0,2022-12-14 14:46:44,121.31,1e-05,TRUE,140,FALSE,1.3125034375,0.01,2023-08-07 13:05:38,0,0,754,1,0.03,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",181.2,184.85,1,77,0,0,2023-08-22 13:20:10,178.22,1.68164221679687,TRUE,145,FALSE,2.06641108398437,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",176,179.85,1,43,0,0,2023-08-29 10:17:10,176.35,1.52539299804687,TRUE,150,FALSE,1.171879140625,0.01,2023-08-15 11:28:04,0,0,1201,3,0.02,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",0,0,8,265,0,0,2023-05-16 14:39:54,159.36,1e-05,TRUE,155,FALSE,1.1875040625,0.01,2023-08-09 10:49:33,0,0,1529,2,0.04,0,"MSFT230915P00155000"
11,"MSFT230915C00160000",156.6,158.9,11,125,0,0,2023-07-18 12:34:47,206.45,1e-05,TRUE,160,FALSE,1.140629296875,0.01,2023-08-29 13:21:05,0,0,2077,3,0.04,0,"MSFT230915P00160000"
12,"MSFT230915C00165000",78.85,82.25,19,279,0,0,2022-12-14 14:47:16,98.57,1e-05,TRUE,165,FALSE,1.1328168359375,0.01,2023-08-30 14:24:07,0,0,1242,2,0.06,0,"MSFT230915P00165000"
13,"MSFT230915C00170000",157.5,159.5,1,183,0,0,2023-07-24 10:31:57,176.95,1.60009965576172,TRUE,170,FALSE,1.44433871582031,0.01,2023-08-29 13:28:07,0,0,1712,20,0.75,0,"MSFT230915P00170000"
14,"MSFT230915C00175000",167.6,171.35,6,152,0,0,2023-06-23 11:20:02,162.39,3.37414707244873,TRUE,175,FALSE,1.38672181640625,0.01,2023-08-18 15:45:34,0,0,3248,5,0.75,0,"MSFT230915P00175000"
15,"MSFT230915C00180000",135,139,2,451,0,0,2023-07-19 10:33:15,179.2,1e-05,TRUE,180,FALSE,0.976562734375,0.01,2023-08-22 14:57:59,0,0,2395,1,0.05,0,"MSFT230915P00180000"
16,"MSFT230915C00185000",141.25,144.95,1,266,0,0,2023-08-28 10:53:44,137.85,1.25683965332031,TRUE,185,FALSE,1.27539424804687,0.01,2023-08-15 12:34:14,0,0,1664,2,0.75,0,"MSFT230915P00185000"
17,"MSFT230915C00190000",136.25,139.95,3,215,0,0,2023-08-22 14:40:10,134.35,1.20410554199219,TRUE,190,FALSE,0.7812521875,0.01,2023-08-31 14:29:49,0,0,2733,20,0.01,0,"MSFT230915P00190000"
