"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915P00110000","REGULAR","USD",2023-09-15,110,0.01,0,0,0,0.01,1,1764,2023-08-11 14:31:24,1.4375028125,FALSE
"MSFT230915P00115000","REGULAR","USD",2023-09-15,115,0.01,0,0,0,0.01,1,1477,2023-08-16 13:13:48,1.375003125,FALSE
"MSFT230915P00120000","REGULAR","USD",2023-09-15,120,0.01,0,0,0,0.02,1,2510,2023-07-26 13:53:51,1.40625296875,FALSE
"MSFT230915P00125000","REGULAR","USD",2023-09-15,125,0.01,0,0,0,0.03,6,1153,2023-07-20 12:22:01,1.390628046875,FALSE
"MSFT230915P00130000","REGULAR","USD",2023-09-15,130,0.02,0,0,0,0.05,3,3955,2023-07-27 14:58:26,1.390628046875,FALSE
"MSFT230915P00135000","REGULAR","USD",2023-09-15,135,0.02,0,0,0,0.5,3,1226,2023-07-27 15:58:43,1.70214992675781,FALSE
"MSFT230915P00140000","REGULAR","USD",2023-09-15,140,0.01,0,0,0,0.01,1,754,2023-08-07 13:05:38,1.125004375,FALSE
"MSFT230915P00145000","REGULAR","USD",2023-09-15,145,0.02,0,0,0,2.13,1,372,2023-07-21 15:52:21,1.94824244628906,FALSE
"MSFT230915P00150000","REGULAR","USD",2023-09-15,150,0.01,0,0,0,0.01,3,1201,2023-08-15 11:28:04,1.03125484375,FALSE
"MSFT230915P00155000","REGULAR","USD",2023-09-15,155,0.01,0,0,0,0.01,2,1529,2023-08-09 10:49:33,1.000005,FALSE
"MSFT230915P00160000","REGULAR","USD",2023-09-15,160,0.01,0,0,0,0.01,1,2077,2023-08-23 09:52:26,0.9687503125,FALSE
"MSFT230915P00165000","REGULAR","USD",2023-09-15,165,0.01,0,0,0,0,8,1244,2023-08-01 12:29:48,0.500005,FALSE
"MSFT230915P00170000","REGULAR","USD",2023-09-15,170,0.01,0,0,0,0.01,1,1717,2023-08-23 12:25:29,0.87500125,FALSE
