"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",222.7,224.3,1,4,0,0,2023-08-23 13:43:20,219.17,3.17383019042969,TRUE,110,FALSE,2.1250046875,0.01,2023-08-11 14:31:24,0,0,1764,1,0.03,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",217.65,218.5,1,2,0,0,2023-08-10 15:08:16,208.45,2.62109719726562,TRUE,115,FALSE,2.1718795703125,0.01,2023-08-16 13:13:48,0,0,1477,1,0.06,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",212.55,214.45,3,54,0,0,2023-08-18 10:08:27,192.91,2.93945577636719,TRUE,120,FALSE,1.90625046875,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",206.45,209.3,20,265,0,0,2023-08-24 15:29:04,197.25,3.23925971435547,TRUE,125,FALSE,1.890625546875,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",201.55,204.25,40,319,-2.680008,-1.314825,2023-09-06 13:44:41,201.15,1.859375703125,TRUE,130,FALSE,1.890625546875,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",197.5,199.5,40,295,11.139999,5.9776773,2023-09-06 15:49:48,197.5,2.62305031738281,TRUE,135,FALSE,2.31641045898437,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",101.25,105,4,315,0,0,2022-12-14 14:46:44,121.31,1e-05,TRUE,140,FALSE,1.5625021875,0.01,2023-08-07 13:05:38,0,0,754,1,0.01,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",186.5,189.5,1,77,0,0,2023-08-22 13:20:10,178.22,1.96484392578125,TRUE,145,FALSE,2.65234711914063,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",181.6,184.25,1,43,0,0,2023-08-29 10:17:10,176.35,1.7109389453125,TRUE,150,FALSE,1.4375028125,0.01,2023-08-15 11:28:04,0,0,1201,3,0.01,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",0,0,8,265,0,0,2023-05-16 14:39:54,159.36,1e-05,TRUE,155,FALSE,1.53125234375,0.01,2023-08-09 10:49:33,0,0,1529,2,0.04,0,"MSFT230915P00155000"
11,"MSFT230915C00160000",156.6,158.9,11,125,0,0,2023-07-18 12:34:47,206.45,1e-05,TRUE,160,FALSE,1.46875265625,0.01,2023-08-29 13:21:05,0,0,2077,3,0.04,0,"MSFT230915P00160000"
